"","TitilosNoticias"
"1","Sindicato N° 1 Orica: ""en los últimos años ya van tres compañeros muertos"""
"2","Mineros fallecen en mina que no contaba con autorización para funcionar"
"3","Dos accidentes fatales en un mes en Codelco "
"4","Trabajador muere aplastado por estructura metálica en Concepción"
"5","Accidente de Trabajadores Subcontratados de la Minera  Collahuasi"
"6","Son más que dos muertos: 525 mineros han fallecido en faenas desde el año 2000"
"7","335 mineros muertos en los Gobiernos de Piñera y Bachelet: ¿valen más nuestras vidas o sus ganancias?"
"8","Trimestre negro en el Estado español: 123 muertos y 142.000 accidentes laborales "
"9","Accidente laboral deja un muerto en las dependencias de proyecto Pascua Lama"
"10","Incendio en Vichuquén deja 3 brigadistas muertos y al menos 4 heridos"
"11","Trabajadores de Komatsu apoyan campaña #VivosNosQueremos"
"12","Comisión de control de seguridad e higiene: la experiencia del Astillero ASTARSA en Argentina"
"13","VIDEOS: Campaña #VivosNosQueremos suma apoyos en el norte del país"
"14","Más de 200 dirigentes sindicales apoyan campaña #VivosNosQueremos: no más accidentes laborales. ¡Súmate!"
"15","Profesores adhieren a campaña en repudio a los accidentes laborales"
"16","Foro Accidentes Laborales: Los estudiantes se organizan junto a los trabajadores"
"17","#VivosNosQueremos. Trabajadores impulsan campaña contra accidentes y muertes laborales"
"18","Súmate a la campaña contra los accidentes laborales #VivosNosQueremos"
"19","Minería, despidos y muertes"
"20","¡Hasta cuándo manchan la tierra de sangre obrera!"
"21","""Vivos nos queremos"". Muertes laborales nunca más"
"22","Federación Minera de Chile repudia los accidentes laborales"
"23","Italia: un activista sindical muere atropellado por un camión en un piquete"
"24","Hasta cuándo nos matan"
