"","Año","Ambos sexos","X__1","Hombres","X__2","Mujeres","X__3"
"1",NA,"AVPP","Tasa","AVPP","Tasa","AVPP","Tasa"
"2",2007,"17637","253.99923928881594","16497","372.80234014803091","1140","45.263449655215268"
"3",2008,"19757","274.35422914572439","18728","413.62862287395205","1029","38.488282019987722"
"4",2009,"16187","221.66592342097601","15069","330.98931683236111","1118","40.65875055501953"
"5",2010,"19080","245.41437015994606","17393","369.88875358297878","1687","54.908550192035506"
"6",2011,"17061","211.827896204057","15833","329.25350306036665","1228","37.837899969582693"
"7",2012,"18187","223.14746695487003","16960","350.7850055626372","1227","37.009717772322837"
"8",2013,"17520","211.58519103907","16181","329.81915871670992","1339","39.68194214755075"
"9",2014,"15376","182.23076665678093","14229","286.62769802652815","1147","33.022649259452713"
"10",2015,"16537","193.2572387439219","14929","296.02879156099442","1608","45.76114470784934"
"11",2016,"16377","188.5390743753222","15283","298.46398753308597","1094","30.681106749896465"
